Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
2 doors,Non disponibile,259 g/km,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, AMG-Styling, Audio system with 6 speakers, Integrated emergency call system, Seat belt: silver-grey/beige/red, Parcel fastening side mesh, Vigilance monitoring system - ATTENTION ASSIST, Power windows front and rear, Headrests front [2 pcs], Black roof trim,, Brake system: Anti-lock braking system [ABS],, Tachometer, Chassis design: sports suspension PLUS, Warranty Plus: 4 years/120000km, Rear differential lock, Hill Climb assist, Start-up lock, Information system: On-board computer,, Stability program: ESP [Electronic Stability Program],, Upholstery: fabric/leather/imitation leather, Armrest front,, Tire pressure monitoring system,, Auxiliary LED side direction indicators integrated in the exterior mirror,, Antitraction control [ASR],, Exhaust system: AMG, Steering: four-wheel steering [4WS], Light alloy wheels Disc 19' [AMG], Locking system with remote control, Chrome package [internal], External temperature gauge, Exterior rear-view mirrors electrically adjustable and heated, Threshold: stainless steel, Foot mat set AMG, Air conditioning [ACC] automatic,, Airbag a driver/passenger side, head and side airbags front,, Memory package: seat memory, exterior mirrors with electric memory,, Microfilter [dust and pollen filter],, Cup holder front, Spare wheel: tire repair kit instead of spare wheel, Radio CD: Audio 20 RDS MP3, Cruise control [tempomat], Transmission: 7-speed automatic with manual switching, Stop&Start system: automatic engine stop and start, Illuminated vanity mirror on driver and passenger side,, Power steering: speed-dependent,, Tinted windows: light and thermal protection, Knee airbag on driver's side , Knee airbag on passenger side, Roof design: Panorama glass roof, Seat heating: heated seats front, Emergency lights and exterior mirrors in body colour, Braking system: electric parking brake, increased power, red calipers, Steering wheel: leather sport 3-spoke, height-adjustable, Seats: height-adjustable driver and passenger seats, AMG sports seats front, Lighting: automatic headlight activation, LED headlights and LED daytime running light, LED taillights, third brake light",12 m,265/35 R19295/35 ZR19,3.7 seconds,2017—,Non disponibile,Rear wheel,Non disponibile,245 kg,8 cylinders,VOLTS,3.982 cm³,4 546 mm,Non disponibile,Big car,Cup,EURO 6,1 288 mm,680 Nm,"410 kW, 558 HP","9,0 l/100km",Non disponibile,Non disponibile,1 645 kg,Automatic (7-speed tiptronic) transmission,2 persons,"1,939 mm",2 630 mm,11.4 l/100km,15.1 l/100km,316 km/h,1 890 kg,50 203 050 Ft,Gasoline,65 l
5 doors,Non disponibile,256 g/km,461 l,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, AMG-Style, Audio system with 6 speakers, Integrated emergency call system, Seat belt: silver-grey/beige/red, Luggage compartment side mesh, Vigilance monitoring system - ATTENTION ASSIST, Power windows front and rear, Power transmission: all-wheel drive [4WD], Head restraints front [2 pcs], Black roof trim,, Brake System: Anti-lock Braking System [ABS],, Tachometer, Chassis design: sport suspension PLUS, Warranty Plus: 4 years/120000km, Rear differential lock, Hill Climb assist, Start blocking, Information System: On-board computer,, Stability program: ESP [Electronic Stability Program],, Upholstery: fabric/leatherette, Armrest front,, Tyre pressure monitoring system,, Auxiliary LED side direction indicators integrated into the exterior mirror,, Anti-Traction Control [ASR],, Exhaust system: AMG, Steering: four-wheel steering [4V] WS], Alloy wheel 19' [AMG], Centre lock with remote control, Chrome package [internal], External temperature gauge, Exterior mirrors electrically adjustable and heated, Threshold: stainless steel, Foot mat set AMG, Air conditioning Equipment [ACC] automatic,, Airbag on driver and passenger side, head and side airbags front,, Memory package: seat memory, exterior mirrors with electric memory,, Microfilter [dust and pollen filter],, Cup holder front, Spare wheel: tire repair kit instead of spare wheel, Radio CD: Audio 20 RDS MP3, Cruise control [cruise control], Stop&Start system: automatic engine stop and start, Illuminated mirror on driver and passenger side,, Power steering: speed-dependent,, Tinted windows: light and thermal protection, Knee airbag on driver's side, Knee airbag Passenger side, Roof design: Panorama glass roof, Seat heating: heated seats front, Emergency lights and exterior mirrors in body color, Braking system: electric parking brake, increased power, red calipers, Steering wheel: leather sport 3-spoke, height-adjustable distance adjustment, Seats: height-adjustable driver-and passenger seat, AMG sports seats front, Lighting: automatic headlight activation, LED headlights and LED daytime running light, LED rear lights, third brake light",13 m,255/45 ZR19285/40 ZR19,3.4 seconds,2018—,Non disponibile,All-wheel,Non disponibile,450 kg,8 cylinders,VOLTS,3.982 cm³,5.054 mm,Non disponibile,Big car,Cup,Non disponibile,1.442 mm,800 Nm,"430 kW, 585 hp","8,9 l/100km",Non disponibile,Non disponibile,2 100 kg,Automatic (9-speed tiptronic) transmission,4 persons,1 953 mm,2 951 mm,11.2 l/100km,15.2 l/100km,310 km/h,2 550 kg,50 311 000 HUF,Gasoline,66 l
5 doors,Non disponibile,189 g/km,456 l,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, AMG-Styling, Audio system with 6 speakers, Integrated emergency call system, Seat belt: silver-grey/beige/red, Parcel fastening side mesh, Vigilance monitoring system - ATTENTION ASSIST, Power windows front and rear, Headrests front [2 pcs], Black roof trim,, Brake system: Anti-lock braking system [ABS],, Tachometer, Chassis design: sports suspension PLUS, Warranty Plus: 4 years/120000km, Rear differential lock, Hill Climb assist, Start-up lock, Information system: On-board computer,, Stability program: ESP [Electronic Stability Program],, Upholstery: fabric/leather/imitation leather, Armrest front,, Tire pressure monitoring system,, Auxiliary LED side direction indicators integrated in the exterior mirror,, Antitraction control [ASR],, Exhaust system: AMG, Steering: four-wheel steering [4WS], Light alloy wheels Disc 19' [AMG], Locking system with remote control, Chrome package [internal], External temperature gauge, Exterior rear-view mirrors electrically adjustable and heated, Threshold: stainless steel, Foot mat set AMG, Air conditioning [ACC] automatic,, Airbag a driver/passenger side, head and side airbags front,, Memory package: seat memory, exterior mirrors with electric memory,, Microfilter [dust and pollen filter],, Cup holder front, Spare wheel: tire repair kit instead of spare wheel, Radio CD: Audio 20 RDS MP3, Cruise control [tempomat], Stop&Start system: automatic engine stop and start, Beautifying mirror with illumination on the driver and passenger side,, Power steering: speed-dependent,, Tinted windows: light and thermal protection, Knee airbag on the driver's side, Knee airbag on the passenger side, Roof design: Panoramic glass roof, Seat heating: heated seats front, Emergency indicators and exterior mirrors in body colour, Braking system: electric handbrake, increased power, red calipers, Steering wheel: leather sport 3-spoke, height and distance adjustment, Seats: height-adjustable driver and passenger seat, AMG sports seats front, Lighting: automatic headlight switching, LED headlights and LED daytime running light, LED taillights, third brake light",13 m,255/45 ZR19285/40 ZR19,5.0 seconds,2018—,Non disponibile,Rear wheel,Non disponibile,470 kg,6 cylinders,Soros,"2,999 cm³",5 054 mm,Non disponibile,Big car,Cup,Non disponibile,1 455 mm,500 Nm,"270 kW, 367 hp","7,0 l/100km",Non disponibile,Non disponibile,1 990 kg,Automatic (9-speed tiptronic) transmission,4 persons,"1,953 mm",2 951 mm,"8,3 l/100km",10.6 l/100km,270 km/h,2 460 kg,30 263 900 Ft,Gasoline,66 l
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"Interior kit. k. vp. mirror [1 pcs], Head restraints [2 pcs], Fog lights front [2 pcs],, Power steering",Non disponibile,185/65 R15 87 H,Non disponibile,1984-1988,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,997 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"77 kW, 105 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,2 665 mm,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"Interior trim. k. vp. mirror [1 pcs], El. standing, heated vp. mirror [1 pcs], Headrests [2 pcs], Tachometer, Fog lights front [2 pcs],, Power steering",Non disponibile,185/65 R15 87 H,Non disponibile,1988-1989,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,997 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"90 kW, 122 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,2 665 mm,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/65 R15 87 H,Non disponibile,1986-1988,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,997 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"75 kW, 102 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,2 665 mm,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"Interior trim. k. vp. mirror [1 pcs], El. front, heated vp. mirror [1 pcs], Headrests [2 pcs],, Catalytic converter,, Fog lights front [2 pcs],, Power steering",Non disponibile,185/65 R15 87 H,Non disponibile,1989-1990,Non disponibile,Rear wheel,Non disponibile,500 kg,4 cylinders,Soros,"1,997 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"77 kW, 105 HP",Non disponibile,Non disponibile,Non disponibile,1 160 kg,Manual (4-speed) transmission,5 persons,Non disponibile,2 665 mm,Non disponibile,Non disponibile,Non disponibile,1 660 kg,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,172 g/km,120 l,Non disponibile,Non disponibile,Non disponibile,"Belt tensioning system: pyrotechnic,, Power windows front to rear, Head restraints front to rear [4 pcs],, Brake system: anti-lock braking system [ABS],,, Braking system: brake force regulator, electronic [EBV, EBD],, Tachometer, Heated exterior mirrors and window washers Nozzles, Child seat preparation [ISOFIX], Ignition lock, Upholstery: fabric,, Tyre pressure monitoring system,, Steering column: height-adjustable, Alloy wheels: 15', Centre lock, Exterior mirrors in body colour, Electrically adjustable exterior mirrors can be used, Front sill cover, Air Conditioning [AC],, Airbag on driver and passenger side, Side airbags front,,, Microfilter [dust and pollen filter],, Cup holder front and rear, Spare brake light [third brake light], Spare wheel: tire repair kit instead of spare wheel, Radio preparation,, Alarm system,, Transmission: 5-speed manual,, Power steering,, Tinted windows, Roof: convertible, Electric, Seats rear: folding and dividing, Lighting: fog light [fog lamp] rear",Non disponibile,175/65 R15 84 H,9.8 seconds,2004-2008,Non disponibile,Front wheel,Non disponibile,400 kg,4 cylinders,Soros,"1,598 cm³",3 635 mm,Non disponibile,Small cars,Cabrio,EURO 4,1.416mm,150 Nm,"85 kW, 116 HP","5,7 l/100km",Non disponibile,Non disponibile,1 175 kg,Manual (5-speed) transmission,4 persons,1 688 mm,2.467mm,"7,3 l/100km","10,1 l/100km",193 km/h,1 575 kg,6 210 000 HUF,Gasoline,50 l
2 doors,Non disponibile,207 g/km,120 l,Non disponibile,Non disponibile,Non disponibile,"Alu-Dekor dashboard insert,, Belt tensioning system: pyrotechnic,, Power windows front to rear, Headrests front to rear [4 pcs],, Braking system: anti-lock braking system [ABS],,, Brake system: brake force regulator, electronic [EBV, EBD],, Number of revolutions Gauge, Heated exterior mirrors and window washer nozzles, Child seat preparation [ISOFIX], Starter lock, Stability control: DSC, Upholstery: fabric,, Tire pressure monitoring system,, T, electronic, Steering wheel: Cooper S leather steering wheel, Steering column: height-adjustable, Alloy wheels: 16', Central locking, Exterior rear-view mirrors in body colour, Electrically adjustable exterior mirrors, Door sill cover front, Air conditioning [AC],, Airbag on driver and passenger side, Side airbags front,,, Microfilter [dust and pollen filter],, Cup Front-rear carrier, Spare brake light [third brake light], Radio preparation,, Alarm system,, Transmission: 6-speed manual,, Power steering,, Tinted windows, Roof design: convertible top, Electric, Rear seats: folding and dividing, Seats: sports seats front, Lighting: fog light [ fog lamp] rear, Chassis design: sports suspension, sport suspension",Non disponibile,195/55 R16 87,7.4 seconds,2004-2008,Non disponibile,Front wheel,Non disponibile,400 kg,4 cylinders,Soros,"1,598 cm³",3 635 mm,Non disponibile,Small cars,Cabrio,EURO 4,1.416mm,220 Nm,"125 kW, 170 HP","7,1 l/100km",Non disponibile,Non disponibile,1 240 kg,Manual (6-speed) transmission,4 persons,1 688 mm,2.467mm,"8,8 l/100km",11.8 l/100km,215 km/h,1 640 kg,7 233 000 HUF,Gasoline,50 l
2 doors,Non disponibile,134 g/km,120 l,Non disponibile,Non disponibile,Non disponibile,"Belt tensioning system: pyrotechnic,, Power windows front, Headrests front and rear [4 pcs],, Brake system: anti-lock braking system [ABS],,, Brake system: brake force regulator, electronic [EBV, EBD],, Tachometer, Suspension: stabilizer front and rear axle suspension system, Stability program: DSC (DSC), Upholstery: fabric,, Tyre pressure monitoring system,, Glove compartment: cooled, Steering wheel: height-adjustable, Alloy wheels: 15', Remote central locking, Electrically adjustable exterior mirrors and Heated, Air-conditioning [AC],, Driver and passenger airbag, Head and side airbags front,,, Microfilter [dust and pollen filter],, Cup holder front, Spare brake light [third brake light], Spare wheel: tire repair kit instead of spare wheel, Radio-CD with 6 speakers,, Alarm system,, Transmission: 6-speed mechanical, Spoiler rear, Start/stop button: to start and stop the engine,, Power steering: speed-dependent,, Tinted windows: light and thermal protection, Roof design: canvas roof, Electric, Ultrasonic parking control system rear, Seats dule : folding and dividing, Seats: height-adjustable driver's seat, Emergency devices in body color, Lighting: fog light [fog lamp] rear",11m,175/65 R15,11.3 seconds,2010-2011,Non disponibile,Front wheel,139mm,430 kg,4 cylinders,Soros,"1,598 cm³",3 699 mm,Non disponibile,Small cars,Cabrio,EURO 5,1.414mm,153 Nm,"72 kW, 98 HP",4.3 l/100km,Non disponibile,Non disponibile,1 160 kg,Manual (6-speed) transmission,4 persons,1 683 mm,2.467mm,"5,7 l/100km","7,3 l/100km",181 km/h,1 590 kg,6 398 000 Ft,Gasoline,40 l
2 doors,Non disponibile,134 g/km,120 l,Non disponibile,Non disponibile,Non disponibile,"Belt tensioning system: pyrotechnic,, Power windows front, Headrests front and rear [4 pcs],, Brake system: anti-lock braking system [ABS],,, Brake system: brake force regulator, electronic [EBV, EBD],, Tachometer, Suspension: stabilizer front and rear axle suspension system, Stability program: DSC (DSC), Upholstery: fabric,, Tyre pressure monitoring system,, Glove compartment: cooled, Steering wheel: height-adjustable, Alloy wheels: 15', Remote central locking, Electrically adjustable exterior mirrors and Heated, Air-conditioning [AC],, Driver and passenger airbag, Head and side airbags front,,, Microfilter [dust and pollen filter],, Cup holder front, Spare brake light [third brake light], Spare wheel: tire repair kit instead of spare wheel, Radio-CD with 6 speakers,, Alarm system,, Transmission: 6-speed mechanical, Spoiler rear, Start/stop button: to start and stop the engine,, Power steering: speed-dependent,, Tinted windows: light and thermal protection, Roof design: canvas roof, Electric, Ultrasonic parking control system rear, Seats dule : folding and dividing, Seats: height-adjustable driver's seat, Emergency devices in body color, Lighting: fog light [fog lamp] rear",11m,175/65 R15,9.8 seconds,2008-2010,Non disponibile,Front wheel,139mm,430 kg,4 cylinders,Soros,"1,598 cm³",3 699 mm,Non disponibile,Small cars,Cabrio,EURO 4,1.414mm,160 Nm,"88 kW, 120 HP","4,7 l/100km",Non disponibile,Non disponibile,1 165 kg,Manual (6-speed) transmission,4 persons,1 683 mm,2.467mm,"5,7 l/100km","7,4 l/100km",198 km/h,"1,595 kg",7 088 000 Ft,Gasoline,40 l
5 doors,Non disponibile,141 g/km,442 l,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, Wiper system with interval switch, BA [brake assistant], Internal chrome surfaces [door handle, transmission, air intakes, handbrake lever], Safety belt: height adjustable front, with belt tensioner, force limiter, Seat belts, Rear: three-point, Luggage compartment and glove compartment lighting, Cargo securing points in the luggage compartment, Power windows front and rear,, ASR [anti-traction],, Headrests front and rear, adjustable, Braking system: 4 disc brakes, Tachometer, Heated ventilation: passenger compartment heating Rear, Rear Wiper washing equipment, Heated rear windscreen, Taillight, Hill climb assist, Start lock, ISOFIX installation points rear, Armrest front with drawer/cargo compartment, Front armrest, Movable, Rear armrest with drink holder, Glove compartment: cooled, Leather coated gearbox arm, Steering wheel: height/distance adjustable, Alloy wheels: 16', Remote central locking system, 2 remote control keys, Chrome fog light frame, Radiator grille frame, Side window trim, Chrome-plated tailpipe, Exterior rear-view mirrors electrically adjustable and heated, Exterior rear-view mirrors and handles in body color, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,, Side deflector [black], Reading light [map light], Cup holder front, Storage compartments in the luggage compartment, Spare wheel: tire repair kit instead of a spare wheel, 6 speakers, Radio control on the steering wheel, Cruise control [cruise control], Transmission: 5-speed mechanical, Spoiler on the roof polished, Stop and go system [automatic engine shutdown], Beautician mirror with illumination of Driver & passenger side,, Power steering: electric,, Tinted windows, Driver side knee airbag, USB connection, Seats rear: 1/3-2/3 split, Emergency braking system [ESS], Coloured emergency responders, Towing hook preparation, Information system: multifunction display, Navigation system preparation, Seats: height-adjustable driver's seat, sport seats front, Lighting: headlights with automatic switching on, halogen headlights front, fog lights front, LED taillights, third brake light",11m,215/65 R16,11.4 seconds,2010-2013,Non disponibile,Front wheel,Non disponibile,580 kg,4 cylinders,Soros,1 590 cm³,4 295 mm,Non disponibile,Lower middle category,Combi,EURO 5,1 615 mm,154 Nm,"86 kW, 117 hp","4,9 l/100km",Non disponibile,Non disponibile,1 290 kg,Manual (5-speed) transmission,5 persons,1.770mm,2 670 mm,"5,9 l/100km","7,5 l/100km",183 km/h,1 870 kg,5 850 000 HUF,Gasoline,63 l
5 doors,Non disponibile,141 g/km,442 l,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, Wiper system with interval switch, BA [brake assistant], Internal chrome surfaces [door handle, transmission, air intakes, handbrake lever], Safety belt: height adjustable front, with belt tensioner, force limiter, Seat belts, Rear: three-point, Luggage compartment and glove compartment lighting, Cargo securing points in the luggage compartment, Power windows front and rear,, ASR [anti-traction],, Headrests front and rear, adjustable, Braking system: 4 disc brakes, Tachometer, Heated ventilation: passenger compartment heating Rear, Rear Wiper washing equipment, Heated rear windscreen, Taillight, Hill climb assist, Isofix lock, Isofix anchorages rear, Upholstery: leather, Armrest front with drawer/cargo compartment, Armrest front, Movable, Armrest rear with drink holder, Glove compartment: cooled, Leather Gearshift lever, Steering wheel: height-adjustable, Alloy wheels: 17', Remote central locking system, Chrome fog light frame, Radiator grille frame, Side window trim, Chrome-plated tailpipe, Keyless start and start system [KOS] with START button, Exterior rearview mirror crackle electric folding, heatable knife adjustable, Exterior rear-view mirrors and door handles in body colour, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,, Hard disk navigation system, radio/cd/dvd/mp3 player, 9speakers, audio/video input, Side spoiler [black], Reading light [map light], Cup holder front, storage compartments in the luggage compartment, Spare wheel: tire repair kit instead of a spare wheel, Radio hands-free [Bluetooth], Radio control on the steering wheel, Cruise control [cruise control], Transmission: 5-speed mechanical, Spoiler on roof polished, Stop and go system [automatic engine shutdown], Illuminated mirror on driver and passenger side,, Power steering: electric,, Tinted windows, Knee airbag on driver's side, Roof rack rail, Roof light design: Panorama sun LED headlights, Reverse camera, USB connection, Rear seats: 1/3-2/3 split, Seat heating: heated seats front, Glazing: tinted rear, Emergency braking system [ESS], Emergency stop sensors in body colour, Towbar preparation, Information system: multifunction display, Navigation system preparation, Seats: electrically adjustable driver's seat, Sport seats front, Lighting: headlights with automatic activation, Fog lights front, LED taillights, third brake light, xenon headlights with headlight washer",11m,215/60 R17,11.4 seconds,2010-2011,Non disponibile,Front wheel,Non disponibile,580 kg,4 cylinders,Soros,1 590 cm³,4 295 mm,Non disponibile,Lower middle category,Combi,EURO 5,1 615 mm,154 Nm,"86 kW, 117 hp","4,9 l/100km",Non disponibile,Non disponibile,1 290 kg,Manual (5-speed) transmission,5 persons,1.770mm,2 670 mm,"5,9 l/100km","7,5 l/100km",183 km/h,1 870 kg,7 040 000 Ft,Gasoline,63 l
5 doors,Non disponibile,146g/km,442 l,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, Wiper system with interval switch, BA [brake assistant], Internal chrome surfaces [door handle, transmission, air intakes, handbrake lever], Safety belt: height adjustable front, with belt tensioner, force limiter, Seat belts, Rear: three-point, Luggage compartment and glove compartment lighting, Cargo securing points in the luggage compartment, Power windows front and rear,, ASR [anti-traction],, Headrests front and rear, adjustable, Braking system: 4 disc brakes, Tachometer, Heated ventilation: passenger compartment heating Rear, Rear Wiper washing equipment, Heated rear windscreen, Taillight, Hill climb assist, Start lock, ISOFIX installation points rear, Armrest front with drawer/cargo compartment, Front armrest, Movable, Rear armrest with drink holder, Glove compartment: cooled, Leather coated gearbox arm, Steering wheel: height/distance adjustable, Alloy wheels: 16', Remote central locking system, 2 remote control keys, Chrome fog light frame, Radiator grille frame, Side window trim, Chrome-plated tailpipe, Exterior rear-view mirrors electrically adjustable and heated, Exterior rear-view mirrors and handles in body color, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,, Side deflector [black], Reading light [map light], Cup holder front, Storage compartments in the luggage compartment, Spare wheel: tire repair kit instead of a spare wheel, 6 speakers, Radio control on the steering wheel,, Particle filter,, Cruise control [cruise control], Transmission: 6-speed mechanical, Spoiler on the roof polished, Stop and go system [automatic engine shutdown], Beautician mirror with illumination for driver and passenger side,, Power steering: electric,, Tinted windows, Knee airbag on driver's side, USB connection, Seat rear: 1/3-2/3 split, Emergency braking system [ESS], Emergency stop warning system in body colour, Tow bar preparation, Information system: multifunction display, Navigation system preparation, Seats: height-adjustable driver's seat, Sport seats front, Lighting: headlights with automatic activation, Halogen headlights front, Fog lights front, LED taillights, third brake light",11m,215/65 R16,9.7 seconds,2010-2013,Non disponibile,Front wheel,Non disponibile,600 kg,4 cylinders,Soros,"1,798 cm³",4 295 mm,Non disponibile,Lower middle category,Combi,EURO 5,1 615 mm,300 Nm,"110 kW, 150 HP","4,8 l/100km",Non disponibile,Non disponibile,1 460 kg,Manual (6-speed) transmission,5 persons,1.770mm,2 670 mm,"5,5 l/100km",6.7 l/100km,200 km/h,2 060 kg,8 250 000 HUF,Diesel,63 l
5 doors,Non disponibile,146g/km,442 l,Non disponibile,Non disponibile,Non disponibile,"12V connection,, Windscreen wiper with rain sensor,, Wiper system with interval switch, BA [brake assistant], Internal chrome surfaces [door handle, transmission, air intakes, handbrake lever], Safety belt: height adjustable front, with belt tensioner, force limiter, Seat belts, Rear: three-point, Luggage compartment and glove compartment lighting, Cargo securing points in the luggage compartment, Power windows front and rear,, ASR [anti-traction],, Headrests front and rear, adjustable, Braking system: 4 disc brakes, Tachometer, Heated ventilation: passenger compartment heating Rear, Rear Wiper washing equipment, Heated rear windscreen, Taillight, Hill climb assist, Start lock, ISOFIX installation points rear, Armrest front with drawer/cargo compartment, Front armrest, Movable, Rear armrest with drink holder, Glove compartment: cooled, Leather coated gearbox arm, Steering wheel: height-adjustable, Alloy wheels: 17', Remote central locking, 2 remote control keys, Chrome fog lights, Radiator grille frame, Side window trim, Chrome-plated tailpipe, Exterior mirrors electrically folded, Heated Adjustable blades, External rear-view mirrors and handles in body color, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,, Side deflector [black], Reading light [map light], Cup holder front, Storage compartments in the luggage compartment, Spare wheel: tire repair kit instead of a spare wheel, 6 speakers, Handsfree radio [Bluetooth], Radio control on the steering wheel,, Particle filter,, Cruise control [cruise control], Transmission: 6-speed mechanical, Spoiler on the roof polished, Stop and go system [ automatic engine shutdown], Illuminated vanity mirror on driver and passenger side,, Power steering: electric,, Tinted windows, Knee airbag on driver's side, Roof rack rail, Roof design: Panorama sunroof with LED lighting, Ultrasonic parking control system rear, USB connection, Rear seats: 1/3-2/3 ratio split, Glazing: tinted rear, Emergency braking system [ESS], Colour of emergency warning system, Tow bar preparation, Information system: multifunction display, Navigation system preparation, Seats: adjustable driver's seat height, sports seats front, Lighting: headlights with automatic switching on, fog lights front, LED taillights, third brake light, xenon headlights with headlight washer",11m,215/60 R17,9.7 seconds,2010-2013,Non disponibile,Front wheel,Non disponibile,600 kg,4 cylinders,Soros,"1,798 cm³",4 295 mm,Non disponibile,Lower middle category,Combi,EURO 5,1 615 mm,300 Nm,"110 kW, 150 HP","4,8 l/100km",Non disponibile,Non disponibile,1 460 kg,Manual (6-speed) transmission,5 persons,1.770mm,2 670 mm,"5,5 l/100km",6.7 l/100km,200 km/h,2 060 kg,9 050 000 Ft,Diesel,63 l
2 doors,Non disponibile,Non disponibile,328 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,175/65 R14 82 H,10.7 seconds,1991-1994,Non disponibile,Front wheel,Non disponibile,460 kg,4 cylinders,Soros,"1,597 cm³",4 135 mm,Non disponibile,Mid-range,Cup,Non disponibile,1.310mm,133 Nm,"66 kW, 90 HP",Non disponibile,Non disponibile,Non disponibile,1 035 kg,Manual (5-speed) transmission,4 persons,1 680 mm,2 430 mm,Non disponibile,Non disponibile,183 km/h,1 495 kg,Non disponibile,Gasoline,50 l
2 doors,Non disponibile,Non disponibile,328 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,175/65 R14,10.0 sec,1993-1996,Non disponibile,Front wheel,Non disponibile,460 kg,4 cylinders,Soros,"1,597 cm³",4 135 mm,Non disponibile,Mid-range,Cup,Non disponibile,1.310mm,136 Nm,"75 kW, 102 HP",Non disponibile,Non disponibile,Non disponibile,1 035 kg,Manual (5-speed) transmission,4 persons,1 680 mm,2 430 mm,Non disponibile,Non disponibile,190 km/h,1 495 kg,Non disponibile,Gasoline,50 l
2 doors,Non disponibile,Non disponibile,328 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,195/55 R14 82 V,8.2 seconds,1991-1995,Non disponibile,Front wheel,Non disponibile,406 kg,4 cylinders,Soros,"1,998 cm³",4 135 mm,Non disponibile,Mid-range,Cup,Non disponibile,1.310mm,178 Nm,"105 kW, 143 HP",Non disponibile,Non disponibile,Non disponibile,1 129 kg,Manual (5-speed) transmission,4 persons,1 680 mm,2 430 mm,Non disponibile,Non disponibile,210 km/h,1.535 kg,Non disponibile,Gasoline,50 l
2 doors,Non disponibile,Non disponibile,328 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,195/55 R14,8.2 seconds,1992-1995,Non disponibile,Front wheel,Non disponibile,395 kg,4 cylinders,Soros,"1,998 cm³",4 135 mm,Non disponibile,Mid-range,Cup,Non disponibile,1.310mm,178 Nm,"105 kW, 143 HP",Non disponibile,Non disponibile,Non disponibile,1 140 kg,Manual (5-speed) transmission,4 persons,1 680 mm,2 430 mm,Non disponibile,Non disponibile,210 km/h,1.535 kg,Non disponibile,Gasoline,50 l
